시도명,시군구명,시도코드,시군구코드
부산광역시,서구,26,140
부산광역시,동구,26,170
부산광역시,영도구,26,200
인천광역시,강화군,28,710
경기도,연천군,41,800
경기도,가평군,41,820
충청북도,제천시,43,150
충청북도,옥천군,43,730
충청북도,영동군,43,740
충청북도,괴산군,43,760
충청북도,단양군,43,800
충청남도,보령시,44,180
충청남도,예산군,44,810
충청남도,태안군,44,825
전라남도,곡성군,46,720
전라남도,구례군,46,730
전라남도,장흥군,46,800
전라남도,해남군,46,820
전라남도,함평군,46,860
전라남도,영광군,46,870
전라남도,신안군,46,910
경상북도,안동시,47,170
경상북도,영주시,47,210
경상북도,의성군,47,730
경상북도,영덕군,47,770
경상북도,청도군,47,820
경상북도,고령군,47,830
경상남도,밀양시,48,270
경상남도,하동군,48,850
경상남도,거창군,48,880
경상남도,합천군,48,890
강원특별자치도,태백시,51,190
강원특별자치도,삼척시,51,230
강원특별자치도,홍천군,51,720
강원특별자치도,영월군,51,750
강원특별자치도,평창군,51,760
강원특별자치도,정선군,51,770
강원특별자치도,철원군,51,780
강원특별자치도,양양군,51,830
전북특별자치도,남원시,52,190
전북특별자치도,김제시,52,210
전북특별자치도,무주군,52,730
전북특별자치도,임실군,52,750
전북특별자치도,고창군,52,790
